deaths,dragonKills,baronKills,firstBloodKill,firstBloodAssist,kills,lane,neutralMinionsKilled,turretTakedowns,turretsLost,visionScore,goldEarned,timeCCingOthers,enemyMissingPings,clearedPings,totalPings,wardsPlaced,wardsKilled,detectorPlaced,position,duration,win
4,1,0,False,False,6,JUNGLE,196,5,4,31,17077,35,6,0,142,5,6,4,NONE,2275,True
13,0,0,True,False,6,MIDDLE,21,6,4,20,16558,17,4,0,49,13,2,0,DUO,2275,True
9,0,0,False,False,18,BOTTOM,34,5,4,25,20658,2,4,0,58,15,5,1,CARRY,2275,True
7,0,0,False,False,3,BOTTOM,2,3,4,93,12443,49,2,0,11,39,11,6,SUPPORT,2275,True
5,0,0,False,False,3,JUNGLE,12,9,4,25,11154,7,1,0,22,10,4,0,NONE,1669,True
5,1,1,False,False,10,JUNGLE,174,4,4,14,14452,27,13,0,147,2,2,0,NONE,1669,True
3,0,0,False,False,2,MIDDLE,15,0,4,13,11594,16,21,0,80,5,3,1,SOLO,1669,True
5,2,0,True,False,11,BOTTOM,17,8,4,15,15750,15,0,0,3,8,0,1,CARRY,1669,True
7,0,0,False,True,3,BOTTOM,0,7,4,85,9442,30,1,0,37,35,5,7,SUPPORT,1669,True
4,0,0,False,False,10,JUNGLE,4,3,10,17,14344,23,1,0,39,10,2,1,NONE,1669,False
7,1,0,False,False,7,JUNGLE,165,0,10,23,11656,21,0,0,9,1,8,0,NONE,1669,False
5,0,0,False,False,4,MIDDLE,0,1,10,14,10331,51,2,0,12,9,0,2,SOLO,1669,False
4,0,0,False,False,3,BOTTOM,0,1,10,6,12171,26,7,0,21,5,1,1,CARRY,1669,False
9,0,0,False,False,1,BOTTOM,0,0,10,47,6488,34,0,0,21,26,3,0,SUPPORT,1669,False
12,0,0,False,True,9,TOP,8,4,8,19,18445,23,4,0,33,10,2,0,SOLO,1803,False
7,1,0,True,False,12,JUNGLE,183,1,8,22,15982,12,10,0,109,1,7,0,NONE,1803,False
6,0,0,False,True,3,MIDDLE,4,0,8,13,10971,26,3,0,46,6,3,2,SOLO,1803,False
8,0,0,False,True,4,BOTTOM,0,1,8,10,10985,45,1,0,11,3,1,0,CARRY,1803,False
13,0,0,False,True,5,BOTTOM,0,0,8,69,8757,28,2,0,49,36,5,1,SUPPORT,1803,False
8,0,0,False,False,11,TOP,4,2,6,17,13804,22,20,0,39,9,2,0,SOLO,1803,True
10,2,1,False,False,10,JUNGLE,178,2,6,28,14434,25,6,0,79,6,5,4,NONE,1803,True
2,0,0,False,False,9,MIDDLE,0,6,6,23,14292,27,5,0,18,6,3,4,SOLO,1803,True
5,0,0,False,False,15,BOTTOM,12,7,6,13,16754,10,0,0,13,10,0,0,SOLO,1803,True
8,1,0,False,False,1,JUNGLE,4,6,6,62,9726,37,14,0,33,29,5,4,NONE,1803,True
8,0,0,False,True,6,NONE,12,0,3,41,11669,51,0,0,0,0,2,0,SUPPORT,962,True
1,0,0,False,True,25,NONE,7,4,3,19,16185,6,1,0,11,11,1,0,SUPPORT,962,True
9,0,0,False,True,7,NONE,0,6,3,8,13257,52,0,0,4,4,0,0,SUPPORT,962,True
5,0,1,True,False,8,NONE,24,4,3,14,14070,8,1,0,6,10,1,1,SUPPORT,962,True
8,1,0,False,True,6,NONE,16,3,3,7,14431,43,0,0,1,3,1,0,SUPPORT,962,True
6,0,0,False,False,8,NONE,10,2,11,2,14692,18,0,0,0,2,0,0,SUPPORT,962,False
11,1,0,False,False,6,NONE,12,1,11,13,12100,34,0,0,0,9,0,0,SUPPORT,962,False
16,0,0,False,False,5,NONE,10,0,11,20,11958,38,0,0,24,11,0,0,SUPPORT,962,False
9,1,0,False,False,8,NONE,16,1,11,23,9917,19,1,0,15,12,2,0,SUPPORT,962,False
10,0,0,False,False,4,NONE,22,1,11,15,12212,17,2,0,6,10,1,0,SUPPORT,962,False
3,0,0,False,False,2,TOP,4,6,3,19,12534,15,6,0,44,10,4,0,SOLO,1819,True
9,0,1,False,False,12,JUNGLE,188,0,3,36,15100,30,3,0,41,0,15,0,NONE,1819,True
8,1,0,False,False,16,MIDDLE,4,0,3,16,15573,3,16,0,53,16,3,0,SOLO,1819,True
8,0,0,False,False,8,BOTTOM,6,3,3,19,13119,25,8,0,62,11,4,2,CARRY,1819,True
1,0,0,False,False,1,BOTTOM,0,4,3,76,10542,48,6,0,49,32,11,5,SUPPORT,1819,True
7,0,0,False,False,7,TOP,0,1,6,29,11585,18,15,0,78,6,9,0,DUO,1819,False
7,3,0,False,False,10,JUNGLE,183,1,6,31,13768,7,16,0,141,8,5,7,NONE,1819,False
7,0,0,False,False,6,TOP,0,1,6,26,12573,42,1,0,17,12,3,2,DUO,1819,False
9,0,0,True,False,6,BOTTOM,0,0,6,15,11872,3,1,0,10,8,3,0,CARRY,1819,False
9,0,0,False,True,0,BOTTOM,0,0,6,103,8675,78,10,0,54,47,10,13,SUPPORT,1819,False
3,0,0,False,False,2,TOP,4,6,3,19,12534,15,6,0,44,10,4,0,SOLO,1819,True
9,0,1,False,False,12,JUNGLE,188,0,3,36,15100,30,3,0,41,0,15,0,NONE,1819,True
8,1,0,False,False,16,MIDDLE,4,0,3,16,15573,3,16,0,53,16,3,0,SOLO,1819,True
8,0,0,False,False,8,BOTTOM,6,3,3,19,13119,25,8,0,62,11,4,2,CARRY,1819,True
1,0,0,False,False,1,BOTTOM,0,4,3,76,10542,48,6,0,49,32,11,5,SUPPORT,1819,True
7,0,0,False,False,7,TOP,0,1,6,29,11585,18,15,0,78,6,9,0,DUO,1819,False
7,3,0,False,False,10,JUNGLE,183,1,6,31,13768,7,16,0,141,8,5,7,NONE,1819,False
7,0,0,False,False,6,TOP,0,1,6,26,12573,42,1,0,17,12,3,2,DUO,1819,False
9,0,0,True,False,6,BOTTOM,0,0,6,15,11872,3,1,0,10,8,3,0,CARRY,1819,False
9,0,0,False,True,0,BOTTOM,0,0,6,103,8675,78,10,0,54,47,10,13,SUPPORT,1819,False
3,0,1,False,False,3,TOP,8,4,4,11,14648,24,0,0,14,8,0,0,SOLO,1843,True
1,4,0,False,True,7,JUNGLE,177,3,4,41,13796,19,7,0,89,6,6,4,NONE,1843,True
4,0,0,False,False,11,MIDDLE,8,6,4,15,15365,54,5,0,57,1,5,0,CARRY,1843,True
2,0,0,False,True,2,BOTTOM,16,3,4,17,11586,29,3,0,50,10,1,0,SOLO,1843,True
1,0,0,True,False,2,MIDDLE,0,3,4,73,8500,27,0,0,20,34,6,3,SUPPORT,1843,True
5,0,0,False,False,0,TOP,0,0,10,18,9342,14,2,0,19,11,1,0,SOLO,1843,False
3,1,0,False,False,8,JUNGLE,191,2,10,28,13799,4,19,0,106,3,7,1,NONE,1843,False
3,0,0,False,False,1,MIDDLE,0,3,10,11,11374,21,3,0,24,6,0,0,SOLO,1843,False
4,0,0,False,False,2,BOTTOM,0,0,10,17,11730,12,6,0,76,11,1,0,CARRY,1843,False
10,0,0,False,False,0,BOTTOM,0,1,10,61,6648,26,9,0,13,25,6,4,SUPPORT,1843,False
3,0,0,False,False,2,TOP,4,3,2,18,11172,29,2,0,6,10,1,1,DUO,1775,True
3,4,0,False,False,12,JUNGLE,155,4,2,29,13660,7,8,0,114,7,3,5,NONE,1775,True
3,0,0,False,False,10,TOP,3,3,2,12,12683,32,3,0,18,13,1,1,DUO,1775,True
2,0,0,False,False,12,BOTTOM,6,6,2,22,15074,16,6,0,15,8,8,1,CARRY,1775,True
0,0,0,False,False,0,BOTTOM,0,5,2,40,7908,15,4,0,11,18,2,2,SUPPORT,1775,True
8,0,0,False,False,2,TOP,2,1,9,13,9631,12,2,0,5,7,1,0,SOLO,1775,False
9,0,0,False,True,0,JUNGLE,177,0,9,15,8623,19,3,0,20,1,3,0,NONE,1775,False
5,0,0,True,False,3,MIDDLE,0,0,9,13,10090,23,0,0,3,9,0,0,SOLO,1775,False
7,0,0,False,True,5,BOTTOM,4,1,9,14,11705,10,2,0,18,7,2,0,CARRY,1775,False
7,0,0,False,True,1,BOTTOM,0,0,9,70,7237,20,5,0,10,31,6,5,SUPPORT,1775,False
3,0,0,False,False,4,TOP,4,0,9,24,11346,13,3,0,54,12,2,1,SOLO,1938,False
10,0,0,False,False,3,JUNGLE,150,0,9,24,11475,17,3,0,9,2,7,1,NONE,1938,False
6,0,0,False,False,2,MIDDLE,0,0,9,20,11763,16,8,0,58,11,2,0,SOLO,1938,False
6,0,0,False,False,7,BOTTOM,1,1,9,39,12634,15,1,0,14,12,11,1,CARRY,1938,False
3,0,0,False,False,2,BOTTOM,0,1,9,87,7874,26,8,0,25,50,8,6,SUPPORT,1938,False
4,0,0,False,False,9,TOP,16,6,1,22,15389,13,3,0,10,12,2,1,SOLO,1938,True
2,4,1,True,False,6,JUNGLE,248,4,1,29,15268,13,10,0,85,1,7,0,NONE,1938,True
4,0,0,False,False,4,MIDDLE,4,2,1,6,11504,26,4,0,42,4,0,0,SOLO,1938,True
4,0,0,False,False,8,BOTTOM,0,5,1,24,13831,40,0,0,29,10,4,1,CARRY,1938,True
4,0,0,False,True,1,BOTTOM,0,3,1,90,9819,56,1,0,34,45,10,8,SUPPORT,1938,True
5,0,0,False,False,2,TOP,12,4,2,15,8066,56,4,0,22,7,2,0,SOLO,1338,True
2,2,0,False,False,13,JUNGLE,166,3,2,10,12677,27,2,0,39,1,1,0,NONE,1338,True
3,0,0,True,False,14,MIDDLE,0,6,2,9,14045,5,5,0,14,7,0,1,SOLO,1338,True
5,0,0,False,False,1,BOTTOM,0,3,2,8,8484,5,9,0,29,5,0,0,CARRY,1338,True
4,0,0,False,False,1,BOTTOM,0,3,2,46,7191,18,3,0,12,18,8,1,SUPPORT,1338,True
5,0,0,False,False,3,JUNGLE,4,1,9,6,8047,2,5,0,30,5,0,0,NONE,1338,False
7,1,0,False,False,8,JUNGLE,84,0,9,15,8539,24,10,0,63,1,3,1,NONE,1338,False
6,0,0,False,False,6,MIDDLE,0,1,9,10,10714,5,4,0,60,8,0,0,SOLO,1338,False
5,0,0,False,False,0,BOTTOM,0,0,9,11,6819,4,1,0,1,6,0,1,CARRY,1338,False
8,0,0,False,False,2,BOTTOM,0,0,9,45,7426,38,1,0,7,22,7,1,SUPPORT,1338,False
8,0,0,False,False,3,TOP,0,0,10,8,7021,24,8,0,38,5,0,0,SOLO,1387,False
8,1,0,False,False,2,JUNGLE,120,0,10,15,8315,10,1,0,20,6,1,0,NONE,1387,False
9,0,0,False,False,5,MIDDLE,0,0,10,7,8637,14,10,0,22,5,0,0,DUO,1387,False
10,0,0,False,False,3,MIDDLE,0,0,10,14,8661,12,9,0,14,8,1,0,DUO,1387,False
14,0,0,False,False,4,BOTTOM,0,0,10,51,7153,6,1,0,23,24,6,0,SOLO,1387,False
3,0,0,False,False,7,TOP,4,5,0,8,13535,8,0,0,0,5,0,0,SOLO,1387,True
4,1,0,False,False,4,JUNGLE,146,4,0,16,9931,14,8,0,51,3,4,2,NONE,1387,True
3,0,0,True,False,10,MIDDLE,0,2,0,8,9665,4,2,0,16,4,0,0,SOLO,1387,True
2,0,0,False,False,10,BOTTOM,0,6,0,14,11944,31,3,0,8,6,2,0,CARRY,1387,True
