missingPings,totalPings,wardsPlaced,wardsKilled,detectorsPlaced,position,cctime,turretTakedowns,turretsLost,duration,champ,win
1,10,4,3,0,SOLO,44,2,7,2185,Malzahar,True
0,12,12,0,0,CARRY,32,4,7,2185,Senna,True
14,35,50,16,12,SUPPORT,24,4,7,2185,Pyke,True
8,9,4,0,0,DUO,18,3,10,2185,DrMundo,False
13,74,4,3,0,NONE,16,1,10,2185,Olaf,False
7,30,10,2,0,DUO,17,3,10,2185,Ahri,False
8,35,9,0,0,CARRY,8,0,10,2185,Vayne,False
6,23,43,7,6,SUPPORT,61,0,10,2185,Morgana,False
2,9,7,0,0,SOLO,14,0,10,1768,Kled,False
9,59,5,1,2,NONE,36,1,10,1768,Pantheon,False
2,3,9,1,0,SOLO,19,1,10,1768,XinZhao,False
4,9,7,2,1,CARRY,38,1,10,1768,Jhin,False
2,28,39,9,8,SUPPORT,75,0,10,1768,Leona,False
7,14,10,1,0,SOLO,59,3,2,1768,Zoe,True
6,68,1,1,0,NONE,22,4,2,1768,Hecarim,True
6,31,10,3,0,SOLO,40,4,2,1768,Viktor,True
24,101,8,3,0,CARRY,11,4,2,1768,Smolder,True
11,101,38,7,8,SUPPORT,57,3,2,1768,Braum,True
9,45,13,4,1,SOLO,12,5,4,2212,Gwen,True
30,221,6,10,4,NONE,19,2,4,2212,MonkeyKing,True
2,95,3,5,0,SOLO,34,4,4,2212,Quinn,True
10,122,17,7,2,CARRY,8,4,4,2212,Tristana,True
19,125,40,8,10,SUPPORT,53,1,4,2212,Neeko,True
2,19,12,5,1,SOLO,23,3,11,2212,Irelia,False
26,245,10,6,7,NONE,19,1,11,2212,DrMundo,False
7,43,15,0,4,SOLO,21,0,11,2212,Sylas,False
